id,title,doi,x,y,area,authors,readers,paper_abstract
16,Microbial Transformation of Biomacromolecules in a Membrane Bioreactor: Implications for Membrane Fouling Investigation,10.1371/journal.pone.0042270,0.363890842,1.484672541,10,none,1,none
17,Determinants of Public Attitudes to Genetically Modified Salmon,10.1371/journal.pone.0086174,0.773892958,-0.337163966,9,none,1,none
18,Regional Disparities in Mortality after Ischemic Heart Disease in a Brazilian State from 2006 to 2010,10.1371/journal.pone.0059363,0.191549589,1.138933345,3,none,1,none
19,A Century of the Evolution of the Urban Area in Shenyang,10.1371/journal.pone.0098847,0.81226682,0.115961062,9,none,1,none
20,The Use of Structured Imagery and Dispositional Measurement to Assess Situational Use of Mindfulness Skills,10.1371/journal.pone.0070253,1.890799958,0.07740996,12,none,1,none
21,Transcriptome Analysis of MSC and MSC-Derived Osteoblasts on Resomer® LT706 and PCL: Impact of Biomaterial Substrate on Osteogenic Differentiation,10.1371/journal.pone.0023195,-0.058743282,-0.05964083,8,none,1,none
22,"Authors"" Reply",10.1371/journal.pbio.0030270,-0.989350676,-0.801262121,13,none,1,none
23,Trends in Suicidology: Personality as an Endophenotype for Molecular Genetic Investigations,10.1371/journal.pmed.0030107,0.803264962,-1.593293869,4,none,1,none
24,Conjugate Effects of Heat and Mass Transfer on MHD Free Convection Flow over an Inclined Plate Embedded in a Porous Medium,10.1371/journal.pone.0065223,1.098584789,-0.139245168,11,none,1,none
25,Evaluation of Microwave Steam Bags for the Decontamination of Filtering Facepiece Respirators,10.1371/journal.pone.0018585,1.082195679,0.172054583,11,none,1,none
26,Differential Psychological Impact of Internet Exposure on Internet Addicts,10.1371/journal.pone.0055162,-0.291151277,-1.955032842,1,none,1,none
27,Equivalent Latitude Computation Using Regions of Interest (ROI),10.1371/journal.pone.0072970,0.69395031,-1.240112258,4,none,1,none
28,Somatic Symptoms Evoked by Exam Stress in University Students: The Role of Alexithymia ,10.1371/journal.pone.0084911,1.730756392,-0.788443054,14,none,1,none
29,HBV Infection in Relation to Consistent Condom Use: A Population-Based Study in Peru,10.1371/journal.pone.0024721,0.850495487,-0.618943075,9,none,1,none
30,Biodegradation of Chlorpyrifos and Its Hydrolysis Product 3,10.1371/journal.pone.0047205,0.912643529,1.104174143,10,none,1,none
31,Rejection of Unfair Offers Can Be Driven by Negative Emotions,10.1371/journal.pone.0039619,-1.140989489,1.53150886,3,none,1,none
32,Computational Biology and Bioinformatics in Nigeria,10.1371/journal.pcbi.1003516,-0.39621692,0.018477001,8,none,1,none
33,Desire versus Efficacy in Smokers’ Paradoxical Reactions to Pictorial Health Warnings for Cigarettes,10.1371/journal.pone.0054937,-0.442789579,2.008515152,15,none,1,none
34,Color in Context: Psychological Context Moderates the Influence of Red on Approach- and Avoidance-Motivated Behavior,10.1371/journal.pone.0040333,-1.838500725,0.098205731,7,none,1,none
35,"Stokes"" Second Problem for Magnetohydrodynamics Flow in a Burgers"" Fluid: The Cases γ = λ<sup>2</sup>/4 and γ>λ<sup>2</sup>/4",10.1371/journal.pone.0061531,-0.193797313,1.389233529,14,none,1,none
36,Open Engagement: Exploring Public Participation in the Biosciences,10.1371/journal.pbio.1000549,-0.989350676,-0.801262121,13,none,1,none
37,Global Patterns of Geographic Range Size in Birds,10.1371/journal.pbio.0040208,0.740099142,0.392308631,11,none,1,none
38,Physical Properties of Biological Entities: An Introduction to the Ontology of Physics for Biology,10.1371/journal.pone.0028708,-0.975815521,0.566805745,6,none,1,none
39,Behaviour of a Premixed Flame Subjected to Acoustic Oscillations,10.1371/journal.pone.0081659,0.482570342,0.005712438,9,none,1,none
