id,title,paper_abstract,published_in,year,url,readers,authors,x,y,groups,area_uri,area
9313,Innovative Pedagogy at Massive Scale: Teaching and Learning in MOOCs,"This paper looks at the implications for pedagogy of education at a massive scale. It begins by looking at educational approaches designed or adapted to be effective for large numbers of learners: direct instruction, networked learning, connectivism, supported open learning, and conversational learning at scale. It goes on to identify benefits and challenges of teaching and learning at scale. A grounded approach was used to analyse data from 18 MOOCs run on the UK-based FutureLearn platform. This identified benefits and challenges for learners, for educators and for society as a whole. These need to be addressed in two ways, through learning design and through platform design.",EC-TEL,Full Paper,NA,0,Rebecca Ferguson;Mike Sharples;,-2.79284519,-1.001018797,1,inquiry-based-learning,Inquiry-based learning
9314,Immersive multi-user decision training games with ARLearn,"Serious gaming approaches so far focus mainly on skill development, motivational aspects or providing immersive learning situations. Little work has been reported to foster awareness and decision competencies in complex decision situations involving incomplete information and multiple stakeholders. We address this issue exploring the technical requirements and possibilities to design games for such situations in three case studies: a hostage taking situation, a multi-stakeholder logistics case, and a health-care related emergency case. To implement the games, we use a multi-user enabled mobile game development platform (ARLearn). We describe the underlying real world situations and educational challenges and analyse how these are reflected in the ARLearn games realized. Based on these cases we propose a way to increase the immersiveness of mobile learning games.",EC-TEL,Full Paper,NA,0,Roland Klemke;Stefaan Ternier;Marco Kalz;Birgit Schmitz;Marcus Specht;,-1.991029393,-1.144194556,3,field-trip,Field trip
9315,An Evaluation Framework for Data Competitions in TEL,"This paper presents a study describing the development of an Evaluation Framework (EF) for data competitions in TEL. The study applies the Group Concept Method (GCM) to empirically depict criteria and their indicators for evaluating software applications in TEL. A statistical analysis including multidimensional scaling and hierarchical clustering on the GCM data identified the following six evaluation criteria: 1.Educational Innovation, 2.Usability, 3.Data, 4.Performance, 5.Privacy, and 6.Audience. Each of them was operationalized through a set of indicators. The resulting Evaluation Framework (EF) incorporating these criteria was applied to the first data competition of the LinkedUp project. The EF was consequently improved using the results from reviewers? interviews, which were analysed qualitatively and quantitatively. The outcome of these efforts is a comprehensive EF that can be used for TEL data competitions and for the evaluation of TEL tools in general. ",EC-TEL,Full Paper,NA,0,Hendrik Drachsler;Slavi Stoyanov;Mathieu D'Aquin;Eelco Herder;Marieke Guy;Stefan Dietze;,3.32084631,0.815335286,7,big-data,Big data
9316,"Learning Resource Recommendation: An Orchestration of Content-Based Filtering, Word Semantic Similarity and Page Ranking","Technologies supporting online education have been abundantly developed recent years. Many repositories of digital learning resources have been set up and many recommendation approaches have been proposed to facilitate the consummation of learning resources. In this paper, we present an approach that combines three recommendation technologies: content-based  ltering, word semantic similarity and page ranking to make resource recommendations. Content-based  ltering is applied to  lter syntactically learning resources that are similar to user profile. Word semantic similarity is applied to consolidate the content-based  ltering with word semantic meanings. Page ranking is applied to identify the importance of each resource according to its relations to others. Finally, a hybrid approach that orchestrates these techniques has been proposed. We performed several experiments on a public learning resource dataset. Results on similarity values, coverage of recommendations and computation time show that our approach is feasible.",EC-TEL,Full Paper,NA,0,Nguyen Ngoc Chan;Azim Roussanaly;Anne Boyer;,2.061961174,-0.812604794,4,software-engineering,Software engineering
9317,dmTEA: Mobile learning to aid in the diagnosis of autism spectrum disorders,"Mobile Learning is a teaching-learning methodology which has been developed successfully both inside and outside the classroom. Thanks to the several possibilities of mobile devices, it has been possible to use them with students with special educational needs thus giving rise to software applications focussed on competence acquisition on the students? part and offering such a high level of interaction that it could not be possible by using a PC. Advances in the development of mobile devices have made it feasible to go a step forward and help the teacher with the modelling and evaluation of this type of students. dmTEA is a mobile technology which allows both behaviour evaluation and modelling of students on the autism spectrum. It implements 12 activities ? du-ly verified by experts ? which are adapted to interaction with the mobile device within a specific context, the aim of which is to deal with student?s disorders by observing learning processes and modelling his or her behaviour during task performance. dmTEA implementation in two studies, i.e. a student with severe autism and another student with moderate autism, has helped the teacher at the time of evaluating by offering him or her the necessary information to carry out any possible intervention.",EC-TEL,Full Paper,NA,0,David Cabielles-Hernandez;Juan Ramon Perez-Perez;MPuerto Paule-Ruiz;Victor M. Alvarez-Garcia;Samuel Fernandez-Fernandez;,-2.447585855,-0.713102043,2,mobile-device,Mobile device
9318,The Group Formation Problem: An Algorithmic Approach to Learning Group Formation,"Fostering knowledge exchange among peers is important for learners' motivation, achievement of learning goals as well as improvement of problem solving competency. Still, the positive e ects of such an exchange depend strongly on the suitability of the selected peers in a group. A comparison of existing algorithmic solutions applicable for E-learning and CSCL scenarios reveals limited support for requirements derived from related work in pedagogical psychology. Therefore, the GroupAL algorithm is proposed. It supports the use of criteria that are either expected to be matched homogeneous or heterogeneous among participants while aiming for equally good group formation for all groups. A normed metric allows for comparison of di erent group formations and is robust against variations. Finally, the evaluation reveals the advantages and widespread applicability of GroupAL. Compared to existing solutions, it achieves a better group formation quality under the chosen conditions.",EC-TEL,Full Paper,NA,0,Johannes Konert;Dmitrij Burlak;Ralf Steinmetz;,-3.679358831,0.184259955,8,design-thinking,Design thinking
9319,Adding epiphytic assistance systems in learning applications using the SEPIA system,"In this paper, we present how the SEPIA system can be used to plug pedagogical and technical assistance systems in applications used by learners in an educational context. The SEPIA system consists in two main tools: an assistance editor that enables assistance designers to specify the assistance they wish for existing applications, and a generic assistance engine that executes the specified assistance in order to provide the application end-users with personalized assistance. We also present an experimentation of an assistance system setup with SEPIA in the context of a bachelor degree.",EC-TEL,Full Paper,NA,0,Blandine Ginon;Le Vinh Thai;Stephanie Jean-Daubias;Marie Lefevre;Pierre-Antoine Champin;,2.931800912,0.551677598,9,enterprise-search,Enterprise search
9320,Do Optional Activities Matter in Virtual Learning Environments?,"Virtual Learning Environments (VLEs) provide studentts with activities to improve their learning (e.g., reading texts, watching videos or solving exercises). But VLEs usually also provide optional activities (e.g., changing an avatar profile or setting goals). Some of these have a connection with the learning process, but are not directly devoted to learning concepts (e.g., setting goals). Few works have dealt with the use of optional activities and the relationships between these activities and other metrics in VLEs. This paper analyzes the use of optional activities at different levels in a specific case study with 291 students from three courses (physics, chemistry and mathematics) using the Khan Academy platform. The level of use of the different types of optional activities is analyzed and compared to that of learning activities. In addition, the relationship between the usage of optional activities and different student behaviors and learning metrics is presented.",EC-TEL,Full Paper,NA,0,Jose A. Ruiperez-Valiente;Pedro J. Munoz-Merino;Carlos Delgado Kloos;Katja Niemann;Maren Scheffel;,-3.482554157,-0.329374295,1,inquiry-based-learning,Inquiry-based learning
9321,Mobile Inquiry-Based Learning with Sensor-Data in the School: Effects on Student Motivation,"The paper discusses the design, implementation and evaluation of a pilot project that integrated inquiry-based learning with mobile game design and introduced mobile devices and sensors into classroom learning. A 5-week classroom inquiry learning project on energy consumption was designed and implemented as a mobile serious game. While engaging in the game and training inquiry skills, students were introduced to basic concepts in the energy domain and to everyday practices of energy consumption in their direct environment. The design was based on a model of inquiry-based science learning with social and open mobile tools developed in the European research project weSPOT. The pilot indicated that using an ubiquitous tool does not necessarily help sustain student motivation. There are indications of gender differences in motivation related to use of mobile devices for learning. These differences should be taken into account in the design of activities. Implementation of the inquiry-based learning model in conjunction with a mobile game scenario into the school practice confirmed the importance of good design with sufficient testing and teacher ownership.",EC-TEL,Full Paper,NA,0,Olga Firssova;Marco Kalz;Dirk Borner;Fleur Prinsen;Ellen Rusman;Stefaan Ternier;Marcus Specht;,-2.868458644,-0.939094478,1,inquiry-based-learning,Inquiry-based learning
9322,Exploring the Potential of Speech Recognition to Support Problem Solving and Reflection: Wizards go to school in the elementary maths classroom,"The work described in this paper investigates the potential of Automatic Speech Recognition (ASR) to support young children's exploration and reection as they are working with interactive learning environments. We describe a unique ecologically valid Wizard-of-Oz (WoZ) study in a classroom equipped with computers, two of which were set up to allow human facilitators (wizards) to listen to students thinking-aloud while having access to their interaction with the environment. The wizards provided support using a script and following an iterative methodology that limited on purpose their communication capacity in order to simulate the actual system. Our results indicate that the feedback received from the wizards did serve its function i.e. it helped modify students' behaviour in that they did think-aloud signi cantly more than in past interactions and rephrased their language to employ mathematical terminology. Additional results from student perception questionnaires show that overall students  nd the system suggestions helpful, not repetitive and understandable. Most also enjoy thinking aloud to the computer but, as expected, some  nd the feedback cognitively overloading, indicating that more work is needed on how to design the interaction tipping the balance towards facilitating post-task reection.",EC-TEL,Full Paper,NA,0,Manolis Mavrikis;Beate Grawemeyer;Alice Hansen;Sergio Gutierrez-Santos;,-2.749564576,1.356631508,8,design-thinking,Design thinking
9323,Reconstructing IMS LD units of learning from event logs,"In this paper a novel approach to facilitate the reuse of units of learning (UoLs) is presented. Typically, e-learning platforms do not provide the means to retrieve designed UoLs in a standardized format to be reused in a di erent platform, but they have in common that the students and teachers interaction with the system is logged to  les. Taking this into account, we propose to use these logs and apply a three steps re-engineering approach to translate these UoLs into an accepted educational modelling language, speci cally IMS LD. In the  rst step, the sequence of activities and their functional dependencies are learned by a process mining algorithm. In the second step, another algorithm analyses the variables and their value change in order to learn the adaptation rules that may have been de ned in the UoL. And  nally, in the last step the inferred process structure and rules are matched with the typical structure of activities, acts, and plays de ned by IMS LD.",EC-TEL,Full Paper,NA,0,Juan C. Vidal;Manuel Lama;Borja Vazquez;Manuel Mucientes;,-3.117742584,-0.443305657,1,inquiry-based-learning,Inquiry-based learning
9324,Individual differences in identifying sources of science knowledge,"We have developed an instrument to assess students? proficiencies in identifying sources of science knowledge (SoK) in text passages. We describe the new web-based instrument and our evaluation of the instrument with a sample (n = 338) of children grades 2-8. By creating and validating this tool, we aim to establish a learning progression, inform science teaching, and tailor instruction to individual differences. Our findings suggest that students demonstrate differential ability in identifying SoK and thus imply the need for instruction to accommodate individual student perspectives on SoK. We expect that highlighting student ability in identifying SoK as a distinct skill will enable differentiated, adaptive instruction. We further expect this instrument to make explicit a component of what it means to think like a scientist, and in doing so facilitate conversations among teachers and students about the practice of science.",EC-TEL,Full Paper,NA,0,Ilya Goldin;Maggie Renken;April Galyardt;Ellen Litkowski;,-2.631969872,-0.146375287,2,mobile-device,Mobile device
9325,Adapting Tutoring Feedback Strategies to Motivation,"This paper investigates tutoring feedback strategies adaptive to student motivation. Several static feedback adaptation strategies have been designed based on the interactive tutoring feedback (ITF) model, implemented within the Adaptive Educational System (AES) ActiveMath and evaluated in a study with 6th and 7th graders. Student motivation profile (high vs. low perceived competence and intrinsic motivation) has been used to assign them to either conceptual or procedural feedback condition. The data analysis shows that, for low motivated students, the benefits of adapting feedback to motivational profiles are visible in both, performance during treatment and knowledge gain from pre- to post-test. For highly motivated students, no significant effects have been registered. These findings shed light on the role of motivation in tutoring feedback processing and have important methodological implications for designing feedback strategies in AESs.",EC-TEL,Full Paper,NA,0,Susanne Narciss;Sergey Sosnosvky;Eric Andres;,-2.785047838,1.170317763,8,design-thinking,Design thinking
9326,Use of Social Media across Different Generations in Higher Education in a Developing Country,"While social media is increasing its extent and reach every day, research shows that its impact seems to be more intense in developing countries for various reasons. In developing countries, social media not only satisfies personal communication needs but also tends to compete with mainstream media for news and play a significant role in social movements. Hence potential use of this mounting medium for education needs to be explored. In this study, a social media and education survey has been prepared in order to measure perceptions, awareness and concerns of students and educators coming from different generations on the topic of social media and its use in education. Such a study is crucial to materialize different policies and strategies for enhancing education with this popular and freely available technology. Students? and faculty members? perceptions, expectations and willingness about the educational use of social media are analyzed and different generations are compared. Results of this study could shed light for developing various strategies for integration of social media into Higher Education in developing countries where the difference between generations is typically felt larger.",EC-TEL,Full Paper,NA,0,Ilknur Celik;Cyril Schoreels;,-1.545727247,1.021580383,10,developing-country,Developing country
9327,Analysing Microblogs of Middle and High School Students Participating in Kelluwen,"The Kelluwen project implements middle and high-school educational activities where the use of Web 2.0 tools is incorporated to improve collaboration construction, sharing and publishing of the learning outcomes. The Worklog tool, a microblogging space within the Kelluwen platform has an active role in the educational activities. Using probabilistic topic models, correlation analysis and principal component analysis (PCA), we analyzed micropost of 85 class groups participating in the Kelluwen project and found interesting relations of the types of messages posted and other factors such as the teacher participation in the microblog, the rural or urban nature of the schools and other aspects of the educational experience. ",EC-TEL,Full Paper,NA,0,Javiera Born;Eliana Scheihing;Julio Guerra;Luis Carcamo;,-2.011065926,0.98979487,10,developing-country,Developing country
9328,Mastery Grids: An Open Source Social Educational Progress Visualization,"While many pieces of educational software used in the classroom have been found to positively a ect learning, they often are underused by students. Open learning model and social visualization are two approaches which have been helpful in ameliorating that low usage problem. This article introduces a fusion of these two ideas in a form of social progress visualization. A classroom evaluation indicates that this combination may be e ective in engaging students, guiding them to suitable content, and enabling faster content access.",EC-TEL,Full Paper,NA,0,Tomasz D. Loboda;Julio Guerra;Roya Hosseini;Peter Brusilovsky;,-1.213957341,0.124896306,10,developing-country,Developing country
9329,The design and evaluation of a sensor-based mobile application for citizen inquiry science investigations,"Despite their advantages of portability and ease of use, mobile devices have not yet been used in their full potential in education to measure and investigate real world phenomena. While some existing applications exploit individual sensors on mobile devices, there is no current toolkit that combines and customises data from the full range of sensors, and makes these data available for import to citizen inquiry science projects. This paper presents such a toolkit, called the Sense-it app, which gives access to all sensors on Android smartphones and tablets and connects to new or existing citizen science projects. We describe the design and formative evaluation of the toolkit in collaboration with students and teachers from a city technology college.",EC-TEL,Short Paper,NA,0,Christothea Herodotou;Eloy Villasclaras-Fernandez;Mike Sharples;,-1.121338421,-0.571986595,3,field-trip,Field trip
9330,Are we all on the same Boat? Coordinating Stakeholders for the Design of MOOCs,"One of the gaps that arises from the recent emergence of Massive Open Online Courses (MOOCs) is the lack of methodologies, tools and models for supporting the instructional design of these complex courses, which typically involve several stakeholders (e.g., teachers, audio visual technicians, institutional staff?). One of the few approaches addressing this gap so far is the MOOC Canvas, a framework for supporting the description and design of MOOCs. This paper presents a first approach towards a methodology that applies the MOOC Canvas as an instrument for coordinating the needs and interests of the different stakeholders involved in the preparation and enactment of MOOCs. Also, this paper provides insights about the use of this methodology with different stakeholders in three workshops. The results of the workshops show a positive perception of the methodology and of the use of the MOOC Canvas as the main instrumental support. ",EC-TEL,Short Paper,NA,0,Carlos Alario-Hoyos;Mar Perez-Sanagustin;Carlos Delgado Kloos;,1.382485368,0.213145046,5,methodology,Methodology
9331,An augmented reality job performance aid for kinaesthetic learning in manufacturing work places,"Manufacturing ? as the name already suggests ? is an area where novel ?learning by doing? approaches can help tackle the skills gap this industry is currently facing at large. Within this contribution, we apply human-centred design methodology to help overcome two significant ?teething problems? for augmented reality. We propose five use cases for the application of learning technology on- and off-the-job and we show how these use cases can be implemented in an augmented reality based job performance aid, which we subsequently test on a real life story board in the furniture industry. ",EC-TEL,Short Paper,NA,0,Fridolin Wild;Peter Scott;Jaakko Karjalainen;Kaj Helin;Salla Lind-Kohvakka;Ambjoern Naeve;,-2.075107779,1.282131578,10,developing-country,Developing country
9332,The Learners? Expressed Values of Learning in a Media Tablet Learning Culture,"What do learners value as learning and how does this value relate to the use of mobile technology? Inspired by Stimulated Recall and Photo Eliciting, 207 K-9 students took photos (a total of 283 photos) of what they considered learning situations. Using these photos as starting points, we conducted 21 group interviews that generated 293 utterances. From these utterances, seven themes were generated that shows how the learners expressed their values of learning in a rich and diverse way. Without asking explicitly about technology, 33% of the utterances addressed the adoption of media tablets. These statements also revealed that when the learners personally ?see? a perceived value for them as individuals, then they label the situation as learning. This study?s findings show that identifying what young learners value as learning per se should be considered when designing teaching and learning towards learner-friendly active environments for pro-sumers. These findings also open the door for developing alternative ways for evaluating projects in schools that integrate educational technology.",EC-TEL,Short Paper,NA,0,Lars Norqvist;Isa Jahnke;Andreas Olsson;,-2.962599227,-0.126634074,2,mobile-device,Mobile device
9333,Requirements for Learning Tools Supporting School Field Trips,"This paper attempts to identify the key requirements for learning tools that facilitate learning processes both in formal classroom settings and on outdoor field trips. For that purpose, a qualitative study has been conducted that consisted of interviewing ten teachers from two different states of Germany. The study showed that field trips are a combination of formal and informal learning and could be better facilitated by utilizing heterogonous learning technologies based on particular stages of a field trip. This study suggests a list of requirements for learning tools that facilitate field learning in multiple domains.",EC-TEL,Short Paper,NA,0,Madiha Shafaat Ahmad;Nguyen Thinh Le;Niels Pinkwart;,-2.391556054,-1.335990967,3,field-trip,Field trip
9334,Have you found the error? A Formal Framework for Learning Game Verification,"Specifications of Multi-Player Learning Games (MPLG) are expressed collaboratively by designers who don't speak the same conceptual language. Often, specifications contain design errors and inconsistencies that are difficult to detect in playtests.In this paper, we present a formal framework to assist designers in modeling and automatic verification of learning games at the design stage of development process.",EC-TEL,Short Paper,NA,0,Amel Yessad;Isabelle Mounier;Jean-Marc Labat;Fabrice Kordon;Thibault Carron;,2.406090698,0.341853305,9,enterprise-search,Enterprise search
9335,"DDART, a Dynamic Dashboard for Collection, Analysis and Visualization of Activity and Reporting Traces","Most Learning Management Systems (LMS) focus on providing rich learning materials to the learners but rarely offer possibilities to monitor and analyze their learning processes. However metacognitive strategies argue that learners can improve their learning performances by monitoring their activities, especially in the context of Project-Based Learning (PBL). Our work consists in designing tools to support metacognitive strategies. In this paper, a framework and a dynamic dashboard for PBL situations are proposed to help learners to collect, analyze and visualize the meaningful traces of their activities by them-selves. The proposed framework integrates activity traces (interactions with the LMS) and reporting traces (semi-structured sentences written by the learners). The dynamic dashboard supports learners in the creation customizable indicators through a user-friendly interface.",EC-TEL,Short Paper,NA,0,Min Ji;Christine Michel;Elise Lavoue;Sebastien George;,-2.87896381,-0.730113809,2,mobile-device,Mobile device
9336,Can teachers? fragmented work situation jeopardize professional development of future teaching practices?,"Digitization of schools has been on the political agenda for decades, but despite all reforms, technology investments and professional development initiatives, the goals are not yet reached. We have examined how teachers? perceive their working situation in order to explore if the conditions are suitable for learning and novel teaching practices. 18 interviews with Swedish primary school teachers were conducted and transcribed, from which 330 excerpts were extracted and divided in two characterizing categories: fragmentation reflecting working rhythm and density reflecting working tempo. The working condition had char-acteristics known to cause stress and less wellbeing, which counteracts teachers? sensitiveness to adapt to novelties and a reflective practice. This may jeopardize future professional development and thus digitalization of schools.",EC-TEL,Short Paper,NA,0,Lena Pareto;Sara Willermark;,-3.706646015,0.408358804,8,design-thinking,Design thinking
9337,Blueprint for Software Engineering in Technology Enhanced Learning Projects,"Many projects in Technology Enhanced Learning (TEL) aim to develop novel approaches, models, and systems by field-testing new ideas with software prototypes. A major challenge is that project consortia need to establish a distributed, typically understaffed developer community that has to align its development efforts with needs from application partners and input from research partners. Tackling this challenge, this paper provides a blueprint for software engineering process and infrastructure, which was distilled from successful practices in recent TEL projects. We present a composition of freely available instruments that support open, distributed software engineering practices using continuous integration processes. The blueprint considers the full development cycle including requirements engineering, software architecture, issue tracking, build management and social aspects of developer community building in TEL projects. Some lessons learned are provided, particularly related to open source commitment, innovation as a social process, and the essential role of time. We aim to make software development in TEL fit for Horizon 2020 with processes and instruments that can be readily adopted for planning and executing future projects.",EC-TEL,Short Paper,NA,0,Michael Derntl;Istvan Koren;Petru Nicolaescu;Dominik Renzel;Ralf Klamma;,2.902889686,-0.715534842,4,software-engineering,Software engineering
9338,A Training Framework for Adaptive Educational Hypermedia Authoring Tools,Authoring tools are widely accepted to be one of the most promising approaches to increase the widespread uptake of Adaptive Educational Hypermedia (AEH). AEH authoring tools have however not been as successfully adopted as was initially expected. This paper presents a clearly defined set of comprehensive training steps devised to increase the accessibility of AEH authoring tools. The objective of these training steps is to insure AEH authoring tool users have a clear understanding of how personalization will affect and benefit their courses. The paper includes an evaluation of the presented training steps.,EC-TEL,Short Paper,NA,0,Conor Gaffney;Thanos Staikopoulos;Ian O'Keeffe;Owen Conlan;Vincent Wade;,2.892163063,-0.11152977,4,software-engineering,Software engineering
