url,Name,Legal name of organisation,Country,Continent,Organisation address,Primary contact information (PI),Years of Mesocosm Experiments,Description of Facility,Controlled Parameters,Research Topics,Facility location(s),Primary interests,Specialist areas,Equipment,Lodging,Source of Information,Photos of experiments/installations,Photos of experiments/installations images,Equipment images,Lodging images,Manipulations,Facility location(s) split,location_facilities
https://mesocosm.org/mesocosm/sletvik-field-station/,Sletvik Field Station,Norwegian University of Science and Technology,Norway,Europe,"Norwegian University of Science and Technology
Department of Biology
Trondhjem Biological Station
N-7491 Trondheim
","Anita Kaltenborn
Please login or request access to view contact information.
",,"outdoor – pelagic – marine
sea based mesocosms
","nutrients, …
","plankton dynamics
","




                      63.5929285,9.5457926
                    
",,,"Two large lecturing and three smaller laboratories, one of which has access to salt water, and a meeting room.
","Accommodation for 50 people, kitchen and dining room, lounge, bedrooms, showers, washing rooms and a sauna. All meals are served at the station and normally consist of a self-service breakfast, lunch packet and dinner. The kitchen can be used in the evening by appointment with the station’s attendant chef.
","http://www.ntnu.edu/biology/sletvik-field-station
",,,,,,"['63.5929285', '9.5457926']","{'coordinates': ['63.5929285', '9.5457926']}"
https://mesocosm.org/mesocosm/wuhan-warming-mesocosm-facility-wwmf/,Wuhan Warming Mesocosm Facility (WWMF),"1. Institute of Hydrobiology, Chinese Academy of Sciences (IHB-CAS); 2. College of Fischeries, Huazhong Agricultural University",China,Asia,"
Institute of Hydrobiology, Chinese Academy of Sciences; Address: No. 7 Donghu South Road, Wuchang District, Wuhan, Hubei Province, China
Huazhong Agricultural University; Address: No. 1, Shizishan Street, Hongshan District, Wuhan, Hubei Province, China

","Prof. Dr. Jun Xu (group leader)   Email: xujun@ihb.ac.cn
Associate Prof. Dr. Min Zhang    Email: zhm7875@mail.hzau.edu.cn
Dr. Peiyu Zhang (Scientific Coordinator)  Email: zhangpeiyu@ihb.ac.cn
",2013 - present,"There are 48 mesocosms, each with 1.45 m in height, 1.5 m in diameter and 2560 L in volume. The facility is located at an experimental base in Huazhong Agriculture University in Wuhan, a subtropical area at the middle reach of Yangtze River. Temperature can be regulated automatically by computer systems in all the mesocosms.
","
Temperature (warming, an elevation of 4.0 °C above the ambient temperature; heatwave, a treatment with a pre-programmed fluctuating temperature ranging from 0 °C to 8 °C above ambient)
Nutrients (nitrogen and phosphorus adding)

","
Climate change
eutrophication
food webs
macrophytes

","




                      30.4670833, 114.35961111111111
                    
","Along the Yangtze River, hundreds of shallow lakes are over-exploited by human beings, resulting in the deterioration of the functions and services performed by these lake ecosystems. Furthermore, these shallow lakes are suffering from global climate change, under continuous warming over the last few decades and an unpredicted pattern of extreme climate events. We are interested in how climate change will affect these shallow lakes in the future, and what we can do to mitigate these effects.
","
climate change effects on shallow freshwater ecosystems, focusing on
trophic interactions
food webs
stoichiometry
stable isotope ecology in aquatic ecosystems.

","
basic warming simulation mesocosms
labs for indoor controlled experiments
monitoring and analyzing of biological samples
access to the Advanced Analysis Center which belongs to IHB-CAS: all kinds of biological and chemical parameters can be analyzed.

",,,"



Photo credit: Tao Wang




Photo credit: Chao Li




","['http://mesocosm.org/wp-content/uploads/2019/01/WWMF2.jpg', 'http://mesocosm.org/wp-content/uploads/2019/01/WWMF1-1024x767.jpg']",,,,"['30.4670833', ' 114.35961111111111']","{'coordinates': ['30.4670833', '114.35961111111111']}"
https://mesocosm.org/mesocosm/kob-kiel-outdoor-benthocosms/,KOB (Kiel-Outdoor-Benthocosms),GEOMAR-Helmholtz Center for Ocean Research,Germany,Europe,"GEOMAR-Helmholtz Center for Ocean Research
 West shore campus
 Düsternbrooker Weg 20
 D-24105 Kiel
 East shore campus
 Wischhofstr. 1-3
 D-24148 Kiel
","Professor Martin Wahl (KOB)
Please login or request access to view contact information.
",,"off-shore/outdoor/indoor – pelagic/benthic – marine/brackish
 Kiel Outdoor Benthocosms – KOB
 outdoor – benthic – marine/brackish
 Floating infrastructure consisting of sub-dividable 3500 liter tanks, optionally covered by a fully translucent hood. When the system works in a flow-through mode all in situ fluctuations are admitted to the tanks and experimental treatments represent controlled deviations (delta-treatments) from this naturally fluctuating baseline
","KOB: CO2, temperature, irradiation, nutrients, oxygen, salinity
","KOB: responses of benthic communities to environmental shifts/fluctuations in temperature, pH, pCO2, oxygen, nutrients, salinity
","




                      54.330034,10.1482026
                    
",,,"KOB: insulated tanks with 12 experimental units, heaters, coolers, automated, gas mixing unit, wave generators, internal circulation system, flow through system, surface and deep water supply, programmable climate simulation
",,"http://www.geomar.de/en/
 Media report: Window on future ocean
","



KOB – Kiel Outdoor Benthocosms (Photo: Martin Wahl)




KOB – Kiel Outdoor Benthocosms (Photo: Mark Lenz)




","['http://mesocosm.org/wp-content/uploads/2017/02/KOB_2_400_Wahl_1-282x300.jpg', 'http://mesocosm.org/wp-content/uploads/2017/02/KOB_3_400_Lenz-300x201.jpg']",,,,"['54.330034', '10.1482026']","{'coordinates': ['54.330034', '10.1482026']}"
https://mesocosm.org/mesocosm/the-sven-loven-centre-for-marine-sciences/,The Sven Lovén Centre for Marine Sciences,University of Gothenburg,Sweden,Europe,"University of Gothenburg
 PO Box 100, SE-405 30 Gothenburg, SWEDEN
 Visiting address: Vasaparken
","Michael Klages
Please login or request access to view contact information.
",,"outdoor pelagic marine/brackish
 “ecotrons” : 12 tanks (5.7 x 1.2 m) with adjustable depths + 1 channel of 7m and 1 to 1.5 m of water with recirculation
","control turbulence, temperature, salinity, sedimentation, nutritional conditions, light
","study of gene function, ecotoxicology, development, physiology, virology etc.
","




                      58.2498484,11.4449296
                    
",,,"Laboratory of Marine Chemistry, molecular biology, genetics, living producing algae
",,"www.loven.gu.se

 
","




ecotrons




",['http://mesocosm.org/wp-content/uploads/2017/05/marine-ecotron.jpg'],,,,"['58.2498484', '11.4449296']","{'coordinates': ['58.2498484', '11.4449296']}"
https://mesocosm.org/mesocosm/medimeer-mediterranean-platform-for-marine-ecosystem-experimental-research/,MEDIMEER (MEDIterranean platform for Marine Ecosystem Experimental Research),CNRS,France,Europe,"MEDIMEER
2 Rue des Chantiers
34200, Sète
France
 
http://www.medimeer.univ-montp2.fr/
","Dr. Behzad Mostajir
Please login or request access to view contact information.
",Since 2003,"Pelagic, marine, outdoor, in-situ
 1. Permanent floating structure: up to 12 pelagic mesocosms (1.2 m diameter, 2 m depth, ~2 m3 volume each). Fig. 1 & 2
 2. Permanent floating structure: 3. Indoor structure: 
 3. Mobile: LAMP is composed of 9 individual structures that can be deployed individually or bonded according to experimental design. Fig. 3
","CO2, pH, nutrients, plankton composition, temperature, light, salinity, turbulence, conductivity, chlorophyll a fluorescence and dissolved oxygen concentration. Some of The data are stored and transmit in real time
","Plankton food web structure and functioning and their responses to global and local stressors.
","




                      43.4118721,3.6907914
                    
","Interactions between planktonic organisms and changes in structure and function of planktonic food web.
","Effects of warming, increase of ultraviolet-B radiation and pH on planktonic food web.
","Available equipment and instruments include a spectrofluorimeter, a spectrophotometer with an integrating sphere, an oxygen titrator, an autoanalser for dissolved nutrients, a flow cytometer (FacsCalibur), an epifluorescence microscope, dissecting microsopes, and various benchtop instruments (peristaltic pumps, vacuum pumps, filtration sets, liquid nitrogen container, balances, incubators, drying ovens, cooled centrifuges, hoods, etc.)
Analytical platform, isotope laboratory, cold rooms, physical instrumentation (Conductivity, Temp, O2, pH), optical (fluorescence), biological (phytoplankton measures), biophysics (fluorimeter, spectrophotometer)
","Dormitories at the Marine Station of Sète   or possibility to rent the hotel rooms or a villa. 
","http://www.medimeer.univ-montp2.fr/
","



Fig.1 Permanent floating structure (Photo- Dr. Behzad Mostajir)




Fig.2 Pelagic mesocosms (Photo- Dr. Behzad Mostajir)




Fig.3 LAMP in Dia Island, Crete (Photo: Dr. Behzad Mostajir)




","['http://mesocosm.org/wp-content/uploads/2017/03/Fig.1-Permanent-floating-structure-Photo-Dr.-Behzad-Mostajir.png', 'http://mesocosm.org/wp-content/uploads/2017/03/Fig.2-Pelagic-mesocosms-Photo-Dr.-Behzad-Mostajir.png', 'http://mesocosm.org/wp-content/uploads/2017/02/LAMP-300x129.png']",,,,"['43.4118721', '3.6907914']","{'coordinates': ['43.4118721', '3.6907914']}"
https://mesocosm.org/mesocosm/rsd-facility/,RSD Facility,Faculty of Food Sciences and Fisheries,Poland,Europe,"Kazimierza Królewicza 4, 71550 Szczecin, Poland
","Remigiusz Panicz 
Please login or request access to view contact information.
",More than 30 years (since 1985),"
120 cages (volume 3 cubic meters) submerged in a channel receiving post-cooling water from the Dolna Odra power plant (north-western Poland)
Double tent with 5 independent RAS or flow-through systems
Experimental aquaponics system
Hatchery (artificial breading, hatching and raring of through the early life stages)
Species: common carp, African catfish, goldfish, tench, sturgeons, other Cyprinids incl. ornamental varieties

","
Temperature, DO, pH (RAS)
Fish density
Flow rate

","
Feed design and fish trials
Fish disease detection (molecular methods, histology) 
Marker assisted selection 

","








                      53.209861,14.463944;53.44505,14.562861
                    
","Aquaculture in RAS and cages 
","Fish nutrition, Feed design, Epidemiology, Genetics, Molecular biology
","Fully equipped and operating hatchery, RAS, cage systems and laboratory 
","Yes (basic conditions)
","https://wnozir.zut.edu.pl/index.php?id=3590
Direct contact through e-mail
Panicz R., Sadowski J., Eljasik P. 2019. Detection of Cyprinid herpesvirus 2 (CyHV-2) in symptomatic ornamental types of goldfish (Carassius auratus) and asymptomatic common carp (Cyprinus carpio) reared in warm-water cage culture. Aquaculture. 504: 131-138. DOI:10.1016/j.aquaculture.2019.01.065
Panicz R., Drozd R., Drozd A., Nędzarek A. 2017. Species and sex-specific variation in antioxidant status of tench (Tinca tinca), well catfish (Silurus glanis) and sterlet (Acipenser ruthenus) reared in cage culture. Acta Ichthyologica et Piscatoria. 47(3): 213-223. DOI: 10.3750/AEIP/02093
Panicz R., Klopp C., Igielski R., Hofsoe P., Sadowski J., Coller Jr. J.A. 2017. Tench (Tinca tinca) high-throughput transcriptomics reveal feed dependent gut profiles. Aquaculture. 479: 200-207. DOI: 10.1016/j.aquaculture.2017.05.047
Panicz R., Żochowska-Kujawska J., Sadowski J., Sobczak M. 2017. Effect of feeding various levels of poultry by-product meal on the blood parameters, filet composition and structure of female tenches (Tinca tinca). Aquaculture Research. 48: 5373-5384. DOI: 10.1111/are.13351
Nguyen T.T., Jin Y., Kiełpińska J., Bergmann S.M., Lenk M., Panicz R. 2017. Detection of Herpesvirus anguillae (AngHV-1) in European eel Anguilla anguilla (L.) originating from northern Poland-assessment of suitability of selected diagnostic methods. Journal of Fish Dieseases 1717-1723. DOI: 10.1111/jfd.12689
Drozd R., Panicz R., Jankowiak D., Hofsoe P., Drozd A., Sadowski J. 2014. Antoxidant enzymes in the liver and gills of Tinca tinca from various water bodies. Journal of Applied Ichthyology. 30: 2–6. DOI: 10.1111/jai.12420.
Panicz R., Hofsoe P., Sadowski J., Mysłowski B., Półgęsek M. 2013. Morphometric and molecular characterisation of Cyprinus carpio × Carassius auratus hybrids. Aquaculture International. 21(4): 751-758. DOI: 10.1007/s10499-012-9577-6
Kempter J., Kiełpiński M., Panicz R., Sadowski J., Mysłowski B., Bergmann S. M. 2012. Horizontal transmission of koi herpes virus (KHV) from potential vector species to common carp. Bulletin of the European Association of Fish Pathologists., 32(6): 212-219.
","





















","['http://mesocosm.org/wp-content/uploads/2019/03/RSD-Facility-300x177.jpg', 'http://mesocosm.org/wp-content/uploads/2019/03/Dolna-krew-jesiotry-2014-69-of-76-300x200.jpg', 'http://mesocosm.org/wp-content/uploads/2019/03/Dolna-krew-jesiotry-2014-22-of-35-300x200.jpg', 'http://mesocosm.org/wp-content/uploads/2019/03/Dolna-krew-jesiotry-2014-20-of-35-300x200.jpg', 'http://mesocosm.org/wp-content/uploads/2019/03/Dolna-krew-jesiotry-2014-19-of-35-300x200.jpg', 'http://mesocosm.org/wp-content/uploads/2019/03/PART_1548849527972-225x300.jpeg']",,,,"['53.209861', '14.463944']","{'coordinates': ['53.209861', '14.463944']}"
https://mesocosm.org/mesocosm/rsd-facility/,RSD Facility,Faculty of Food Sciences and Fisheries,Poland,Europe,"Kazimierza Królewicza 4, 71550 Szczecin, Poland
","Remigiusz Panicz 
Please login or request access to view contact information.
",More than 30 years (since 1985),"
120 cages (volume 3 cubic meters) submerged in a channel receiving post-cooling water from the Dolna Odra power plant (north-western Poland)
Double tent with 5 independent RAS or flow-through systems
Experimental aquaponics system
Hatchery (artificial breading, hatching and raring of through the early life stages)
Species: common carp, African catfish, goldfish, tench, sturgeons, other Cyprinids incl. ornamental varieties

","
Temperature, DO, pH (RAS)
Fish density
Flow rate

","
Feed design and fish trials
Fish disease detection (molecular methods, histology) 
Marker assisted selection 

","








                      53.209861,14.463944;53.44505,14.562861
                    
","Aquaculture in RAS and cages 
","Fish nutrition, Feed design, Epidemiology, Genetics, Molecular biology
","Fully equipped and operating hatchery, RAS, cage systems and laboratory 
","Yes (basic conditions)
","https://wnozir.zut.edu.pl/index.php?id=3590
Direct contact through e-mail
Panicz R., Sadowski J., Eljasik P. 2019. Detection of Cyprinid herpesvirus 2 (CyHV-2) in symptomatic ornamental types of goldfish (Carassius auratus) and asymptomatic common carp (Cyprinus carpio) reared in warm-water cage culture. Aquaculture. 504: 131-138. DOI:10.1016/j.aquaculture.2019.01.065
Panicz R., Drozd R., Drozd A., Nędzarek A. 2017. Species and sex-specific variation in antioxidant status of tench (Tinca tinca), well catfish (Silurus glanis) and sterlet (Acipenser ruthenus) reared in cage culture. Acta Ichthyologica et Piscatoria. 47(3): 213-223. DOI: 10.3750/AEIP/02093
Panicz R., Klopp C., Igielski R., Hofsoe P., Sadowski J., Coller Jr. J.A. 2017. Tench (Tinca tinca) high-throughput transcriptomics reveal feed dependent gut profiles. Aquaculture. 479: 200-207. DOI: 10.1016/j.aquaculture.2017.05.047
Panicz R., Żochowska-Kujawska J., Sadowski J., Sobczak M. 2017. Effect of feeding various levels of poultry by-product meal on the blood parameters, filet composition and structure of female tenches (Tinca tinca). Aquaculture Research. 48: 5373-5384. DOI: 10.1111/are.13351
Nguyen T.T., Jin Y., Kiełpińska J., Bergmann S.M., Lenk M., Panicz R. 2017. Detection of Herpesvirus anguillae (AngHV-1) in European eel Anguilla anguilla (L.) originating from northern Poland-assessment of suitability of selected diagnostic methods. Journal of Fish Dieseases 1717-1723. DOI: 10.1111/jfd.12689
Drozd R., Panicz R., Jankowiak D., Hofsoe P., Drozd A., Sadowski J. 2014. Antoxidant enzymes in the liver and gills of Tinca tinca from various water bodies. Journal of Applied Ichthyology. 30: 2–6. DOI: 10.1111/jai.12420.
Panicz R., Hofsoe P., Sadowski J., Mysłowski B., Półgęsek M. 2013. Morphometric and molecular characterisation of Cyprinus carpio × Carassius auratus hybrids. Aquaculture International. 21(4): 751-758. DOI: 10.1007/s10499-012-9577-6
Kempter J., Kiełpiński M., Panicz R., Sadowski J., Mysłowski B., Bergmann S. M. 2012. Horizontal transmission of koi herpes virus (KHV) from potential vector species to common carp. Bulletin of the European Association of Fish Pathologists., 32(6): 212-219.
","





















","['http://mesocosm.org/wp-content/uploads/2019/03/RSD-Facility-300x177.jpg', 'http://mesocosm.org/wp-content/uploads/2019/03/Dolna-krew-jesiotry-2014-69-of-76-300x200.jpg', 'http://mesocosm.org/wp-content/uploads/2019/03/Dolna-krew-jesiotry-2014-22-of-35-300x200.jpg', 'http://mesocosm.org/wp-content/uploads/2019/03/Dolna-krew-jesiotry-2014-20-of-35-300x200.jpg', 'http://mesocosm.org/wp-content/uploads/2019/03/Dolna-krew-jesiotry-2014-19-of-35-300x200.jpg', 'http://mesocosm.org/wp-content/uploads/2019/03/PART_1548849527972-225x300.jpeg']",,,,"['53.44505', '14.562861']","{'coordinates': ['53.44505', '14.562861']}"
https://mesocosm.org/mesocosm/gault-nature-reserve-mesocosm-platform/,Gault Nature Reserve Mesocosm Platform,McGill University,Canada,North America,"845 Sherbrooke St W
Montreal
QC H3A 0G4
Canada
","Gregor Fussmann (PI), Please login or request access to view contact information.
David Maneli (Associate Director of Gault Nature Reserve) Please login or request access to view contact information.
",2012 - present,"A floating platform contains 8 arrays of 4 rings of a ~1 m diameter (i.e., maximal capacity = 32 mesocosms), which can be used to suspend polyethylene bags in the lake. Lake mesocosms can vary in depth, with the maximal lake depth at this location being ~7 m. Electrical wires are fed underneath the platform, with one electrical outlet providing a limited amount of power for each pair of rings. Gas tubing has also been fed under the platform. The floating dock is connected to the shore via a floating walkway.
The lake mesocosm platform is located in Lac Hertel at the Gault Nature Reserve. The watershed is fully forested and the surrounding park is owned by the University. However, the mesocosm platform is located within a part of the park that is off-limits to visitors. The access to the platform itself is protected via a fence, and there is a security camera.
A car or truck can reach 100 m away from the mesocosm platform. However, a golf cart, wagon or canoe can be borrowed to bring equipment to the platform.
The platform is not wheelchair accessible due to the presence of three steps.
","
pH
DOC
Temperature
CO­2
Nitrate
Phosphate
Zooplankton

","
Seasonal limnology
rapid evolution
plankton resource limitation and responses to environmental change
winter limnology
food web dynamics and processes

","




                      45.543060, -73.150762
                    
",,,"
A permanent, long-term monitoring buoy is being installed in the lake about 100m from the mesocosm site, and data will be available via the Gault Nature Reserve.
Tubing for CO2 bubbling and mixing
Ice auger
Life jackets
An equipment storage cabin 100 m away is available for researchers
A lab space with running water and a fume hood is available ~1km away from the mesocosm platform

","Researchers can stay on-site (~1 km from the platform) in cabins with bunk beds.
","https://gault.mcgill.ca/en/research-and-education/research/
","



Photo credit: Gregor Fussmann




Photo credit: Egor Katkov




Photo credit: Gregor Fussmann




Photo credit: Egor Katkov



 



","['http://mesocosm.org/wp-content/uploads/2019/08/Gault-Mesocosms-4-credit-Gregor-Fussmann-1024x768.jpg', 'http://mesocosm.org/wp-content/uploads/2019/08/Gault-Mesocosms-2-credit-Egor-Katkov-1024x768.jpg', 'http://mesocosm.org/wp-content/uploads/2019/08/Gault-Mesocosms-5-credit-Gregor-Fussmann-1024x768.jpg', 'http://mesocosm.org/wp-content/uploads/2019/08/Gault-Mesocosms-3-credit-Egor-Katkov-1024x576.jpg']",,,,"['45.543060', ' -73.150762']","{'coordinates': ['45.543060', '-73.150762']}"
https://mesocosm.org/mesocosm/silwood-mesocosm-facility-smf/,Silwood Mesocosm Facility (SMF),Imperial College London,United Kingdom,Europe,"Silwood Park Campus, Imperial College London, Ascot, UK
","Prof. Guy Woodward, Please login or request access to view contact information.; 
Dr. Michelle Jackson,Please login or request access to view contact information.m.jackson@imperial.ac.ukPlease login or request access to view contact information.; 
Dr. Emma Ransome,Please login or request access to view contact information.e.ransome@imperial.ac.ukPlease login or request access to view contact information.
",Started 2016,"96 freshwater mesocosms, 32 more coming in 2017
","Temperature, drought
","Climate change, Food webs, Biochemistry, Microbial Ecology
","




                      51.51772460,-0.17322940
                    
",,,,"Accommodation is on site in private rooms with shared kitchen facilities. Silwood Park is close to Sunningdale which has shops and rail station with direct links to central London.
",,"









","['http://mesocosm.org/wp-content/uploads/2017/03/SMF-1.png', 'http://mesocosm.org/wp-content/uploads/2017/03/SMF-2.jpg']",,,,"['51.51772460', '-0.17322940']","{'coordinates': ['51.51772460', '-0.17322940']}"
https://mesocosm.org/mesocosm/exstream-system-china/,ExStream System China,Xi'an Jiaotong-Liverpool University,China,Asia,"Xi’an Jiaotong-Liverpool University 111 Ren’ai Road,
Suzhou Dushu Lake Science and Education Innovation District Suzhou Industrial Park
Suzhou, Jiangsu Province,
China 215123
","Assoc. Prof. Yixin Zhang
ExStream network coordinator Asst. Prof. Jeremy J. Piggott
 
Yixin.Zhang@xjtlu.edu.cn
jeremy.piggott@tcd.ie
",operational since 2018,"The ExStream System comprises 128 circular stream mesocosms offering strict control of experimental variables, excellent statistical power and a high degree of realism, such as permitting natural immigration and emigration of stream organisms (invertebrates, algae and microbes) and achieving the same ambient temperature, light conditions and water chemistry as the adjoining river/stream. The mesocosms are arranged in eight blocks of 16 units each, and each of these blocks is continuously supplied by stream water gravity-fed from one of eight header tanks via 16 individual supply pipes.
 
The Experimental Stream mesocosm network (ExStream) comprises replicate installations in New Zealand, China, Japan, Germany and Ireland and is coordinated by Asst. Prof. Jeremy J. Piggott at Trinity College Dublin (jeremy.piggott@tcd.ie).  
","
Nutrients
Sediments
Flow velocity
Temperature

","The effects of multiple stressors on benthic macroinvertebrate communities and ecosystem functioning in streams
","




                      31.276111, 120.7325; 30.118056, 118.023889
                    
","Benthic macroinvertebrate communities and ecosystem functioning in streams: Responses to multiple stressors’ impact.
","Stream Ecology, Community ecology
","At the location of Xi’an Jiaotong-Liverpool University, there are a complete set of lab facilities
","present for both locations
","Assoc. Prof. Yixin Zhang (http://www.xjtlu.edu.cn/en/departments/academic-departments/environmental-science/staff/yixin-zhang)
","



Photo credit: Noel Juvigny-Khenafou




Photo credit: Noel Juvigny-Khenafou




Photo credit: Noel Juvigny-Khenafou




Figure credit: Jeremy (Jay) Piggott




","['http://mesocosm.org/wp-content/uploads/2018/10/34498B12-BD94-4312-8FFD-C92FA6BA75D4@tcd.ie_-e1540461299359-1024x768.jpg', 'http://mesocosm.org/wp-content/uploads/2018/10/54889AEB-229B-40CC-8773-52FAD7DE72D2@tcd.ie_-e1540461322675-1024x768.jpg', 'http://mesocosm.org/wp-content/uploads/2018/10/F8410BFC-4161-4E95-9D6E-A1CBDECD2109@tcd.ie_-1024x768.jpg', 'http://mesocosm.org/wp-content/uploads/2018/05/ExStream-network-collaborators-1024x546.jpeg']",,,,"['31.276111', ' 120.7325']","{'coordinates': ['31.276111', '120.7325']}"
https://mesocosm.org/mesocosm/exstream-system-china/,ExStream System China,Xi'an Jiaotong-Liverpool University,China,Asia,"Xi’an Jiaotong-Liverpool University 111 Ren’ai Road,
Suzhou Dushu Lake Science and Education Innovation District Suzhou Industrial Park
Suzhou, Jiangsu Province,
China 215123
","Assoc. Prof. Yixin Zhang
ExStream network coordinator Asst. Prof. Jeremy J. Piggott
 
Yixin.Zhang@xjtlu.edu.cn
jeremy.piggott@tcd.ie
",operational since 2018,"The ExStream System comprises 128 circular stream mesocosms offering strict control of experimental variables, excellent statistical power and a high degree of realism, such as permitting natural immigration and emigration of stream organisms (invertebrates, algae and microbes) and achieving the same ambient temperature, light conditions and water chemistry as the adjoining river/stream. The mesocosms are arranged in eight blocks of 16 units each, and each of these blocks is continuously supplied by stream water gravity-fed from one of eight header tanks via 16 individual supply pipes.
 
The Experimental Stream mesocosm network (ExStream) comprises replicate installations in New Zealand, China, Japan, Germany and Ireland and is coordinated by Asst. Prof. Jeremy J. Piggott at Trinity College Dublin (jeremy.piggott@tcd.ie).  
","
Nutrients
Sediments
Flow velocity
Temperature

","The effects of multiple stressors on benthic macroinvertebrate communities and ecosystem functioning in streams
","




                      31.276111, 120.7325; 30.118056, 118.023889
                    
","Benthic macroinvertebrate communities and ecosystem functioning in streams: Responses to multiple stressors’ impact.
","Stream Ecology, Community ecology
","At the location of Xi’an Jiaotong-Liverpool University, there are a complete set of lab facilities
","present for both locations
","Assoc. Prof. Yixin Zhang (http://www.xjtlu.edu.cn/en/departments/academic-departments/environmental-science/staff/yixin-zhang)
","



Photo credit: Noel Juvigny-Khenafou




Photo credit: Noel Juvigny-Khenafou




Photo credit: Noel Juvigny-Khenafou




Figure credit: Jeremy (Jay) Piggott




","['http://mesocosm.org/wp-content/uploads/2018/10/34498B12-BD94-4312-8FFD-C92FA6BA75D4@tcd.ie_-e1540461299359-1024x768.jpg', 'http://mesocosm.org/wp-content/uploads/2018/10/54889AEB-229B-40CC-8773-52FAD7DE72D2@tcd.ie_-e1540461322675-1024x768.jpg', 'http://mesocosm.org/wp-content/uploads/2018/10/F8410BFC-4161-4E95-9D6E-A1CBDECD2109@tcd.ie_-1024x768.jpg', 'http://mesocosm.org/wp-content/uploads/2018/05/ExStream-network-collaborators-1024x546.jpeg']",,,,"[' 30.118056', ' 118.023889']","{'coordinates': ['30.118056', '118.023889']}"
https://mesocosm.org/mesocosm/exstream-system-ireland/,ExStream System Ireland,University College Dublin in collaboration with Trinity College Dublin,Ireland,Europe,"Belfield, Dublin 4
","Assoc. Prof. Mary Kelly-Quinn
ExStream network coordinator Asst. Prof. Jeremy J. Piggott
 
mary.kelly-quinn@ucd.ie
jeremy.piggott@tcd.ie
","2016 present, A number of UCD/TCD projects will use the facility over the next three years (-2020).","The ExStream System comprises 128 circular stream mesocosms offering strict control of experimental variables, excellent statistical power and a high degree of realism, such as permitting natural immigration and emigration of stream organisms (invertebrates, algae and microbes) and achieving the same ambient temperature, light conditions and water chemistry as the adjoining river/stream. The mesocosms are arranged in eight blocks of 16 units each, and each of these blocks is continuously supplied by stream water gravity-fed from one of eight header tanks via 16 individual supply pipes.
The facility is mobile, currently housed in University College Dublin.
The Experimental Stream mesocosm network (ExStream) comprises replicate installations in New Zealand, China, Japan, Germany and Ireland and is coordinated by Asst. Prof. Jeremy J. Piggott at Trinity College Dublin (jeremy.piggott@tcd.ie).  
","Flow, can manipulate nutrient, sediment and other stressors
","Impact of multiple stressors & climate change on aquatic communities and ecosystem processes
","




                      53.307444, -6.227611
                    
","Stream biodiversity and ecosystem function
","Multiple stressors and climate change
","Basic equipement. For detailed information please, mesage facility contacts.
","None
","Assoc. Prof. Mary Kelly-Quinn (http://www.ucd.ie/research/people/biologyenvscience/drmarykelly-quinn/)
Asst. Prof. Jeremy J. Piggott (https://www.tcd.ie/Zoology/research/groups/piggott/)
ExStream Ireland video:  https://youtu.be/OUeL_ePRq8A
","



Photo credit: Matthew Rose-Nel




Photo credit: Matthew Rose-Nel




Figure credit: Jeremy (Jay) Piggott




 
","['http://mesocosm.org/wp-content/uploads/2018/05/IMG_1176-683x1024.jpg', 'http://mesocosm.org/wp-content/uploads/2018/05/DJI_0011-1024x575.jpg', 'http://mesocosm.org/wp-content/uploads/2018/05/ExStream-network-collaborators-1024x546.jpeg']",,,,"['53.307444', ' -6.227611']","{'coordinates': ['53.307444', '-6.227611']}"
